epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,2584.95,0.19003,2.09624,0.23356,0.0005,0.32542,0.00777,0.00284,0.3665,2.35898,1.02882,0.0666879,1.66644e-05,1.66644e-05
2,5123.41,0.16551,0.93537,0.24135,0.81441,0.77625,0.7168,0.65834,0.10557,1.61269,0.28377,0.0333709,3.30011e-05,3.30011e-05
3,7669.74,0.13674,0.43879,0.2172,0.97851,0.9908,0.98704,0.90707,0.12054,0.29188,0.332,5.35966e-05,4.90078e-05,4.90078e-05
4,10219.3,0.11954,0.33829,0.19573,0.98528,0.99332,0.98878,0.95131,0.08142,0.19458,0.21827,4.8515e-05,4.8515e-05,4.8515e-05
5,12770.2,0.11343,0.31204,0.18715,0.99517,0.99276,0.99089,0.96456,0.06841,0.16573,0.18253,4.802e-05,4.802e-05,4.802e-05
6,15308.9,0.10997,0.28727,0.18217,0.99337,0.99505,0.99123,0.96956,0.05908,0.14927,0.15537,4.7525e-05,4.7525e-05,4.7525e-05
7,17853.3,0.10655,0.27748,0.1772,0.99331,0.99467,0.99083,0.96502,0.06598,0.16042,0.17594,4.703e-05,4.703e-05,4.703e-05
8,20392.2,0.10477,0.26787,0.1753,0.99423,0.99381,0.99142,0.97607,0.05344,0.14505,0.13928,4.6535e-05,4.6535e-05,4.6535e-05
9,22935.9,0.10263,0.263,0.17079,0.99551,0.99458,0.99139,0.97123,0.06114,0.14824,0.16106,4.604e-05,4.604e-05,4.604e-05
10,25483.2,0.09978,0.25112,0.16643,0.99547,0.99505,0.99117,0.97623,0.05348,0.13565,0.13967,4.5545e-05,4.5545e-05,4.5545e-05
11,28032.2,0.09914,0.24767,0.16556,0.99381,0.99468,0.99128,0.97719,0.04925,0.12889,0.12984,4.505e-05,4.505e-05,4.505e-05
12,30584.8,0.09849,0.24599,0.16568,0.99532,0.99431,0.9912,0.97461,0.05567,0.13935,0.14611,4.4555e-05,4.4555e-05,4.4555e-05
13,33134.1,0.09677,0.23872,0.1631,0.99535,0.99468,0.99225,0.98008,0.04611,0.12304,0.11933,4.406e-05,4.406e-05,4.406e-05
14,35709.3,0.09623,0.23654,0.16154,0.99394,0.99417,0.99175,0.97965,0.04731,0.12758,0.1233,4.3565e-05,4.3565e-05,4.3565e-05
15,38301.3,0.09441,0.23312,0.15857,0.99564,0.99505,0.99185,0.97916,0.04705,0.12302,0.1226,4.307e-05,4.307e-05,4.307e-05
16,40889.8,0.09334,0.23112,0.15711,0.99518,0.99505,0.99211,0.97882,0.04931,0.12529,0.12981,4.2575e-05,4.2575e-05,4.2575e-05
17,43498.1,0.09318,0.22625,0.15653,0.99487,0.99522,0.99299,0.97938,0.04729,0.12278,0.12498,4.208e-05,4.208e-05,4.208e-05
18,46085.2,0.09174,0.22769,0.15427,0.99504,0.99505,0.9932,0.97997,0.04548,0.12111,0.11944,4.1585e-05,4.1585e-05,4.1585e-05
19,48674.8,0.09173,0.22445,0.15542,0.99473,0.99488,0.99198,0.98034,0.04711,0.12118,0.12391,4.109e-05,4.109e-05,4.109e-05
20,51281.1,0.0909,0.21929,0.15323,0.99577,0.99507,0.99195,0.98028,0.04701,0.1204,0.12483,4.0595e-05,4.0595e-05,4.0595e-05
21,53879.2,0.09141,0.21896,0.15373,0.99552,0.99489,0.99224,0.9803,0.04609,0.11923,0.12224,4.01e-05,4.01e-05,4.01e-05
